name,time,ms,measured_ms,provider,language,memory,region
factors,1579181851977343008,5350,5207.919,azureWindows,node,128,westeurope
factors,1579181852179766557,551,286.1831,azureWindows,dotnet,128,westeurope
factors,1579181852309081714,687,586.7805480957031,ibm,python,128,eu-de
factors,1579181852385791326,760,670.4168000000001,aws,dotnet,128,eu-central-1
factors,1579181852659366939,1035,904,aws,go,128,eu-central-1
factors,1579181852717585297,1098,1008,google,go,128,europe-west1
factors,1579181853051821086,1425,1224.7626781463623,azure,python,128,westeurope
factors,1579181853587966196,1966,1716.375,ibm,node,128,eu-de
factors,1579181853661693483,17041,16886.57,aws,node,128,eu-central-1
factors,1579181854051844352,2426,2153.472,azure,node,128,westeurope
factors,1579181854415170460,7795,7602.077960968018,google,python,128,europe-west1
factors,1579181854619517037,7998,7856.842517852783,aws,python,128,eu-central-1
factors,1579181856860966171,237,60,ibm,go,128,eu-de
factors,1579181856868056885,240,82.1151,ibm,dotnet,128,eu-de
factors,1579181856917351705,290,127.4736,azure,dotnet,128,westeurope
factors,1579181856997587163,369,249.72410000000002,azureWindows,dotnet,128,westeurope
factors,1579181857311832577,15694,15573.897,google,node,128,europe-west1
factors,1579181857404352487,782,593.2178497314453,ibm,python,128,eu-de
factors,1579181857405274256,778,649.4699,aws,dotnet,128,eu-central-1
factors,1579181857603062736,979,891,aws,go,128,eu-central-1
factors,1579181857909409934,1290,1194,google,go,128,europe-west1
factors,1579181857981477643,1355,1195.0647830963135,azure,python,128,westeurope
factors,1579181858359557339,6729,6424.825,azureWindows,node,128,westeurope
factors,1579181858598304950,1975,1696.402,ibm,node,128,eu-de
factors,1579181858598428008,16976,16750.156,aws,node,128,eu-central-1
factors,1579181858913553954,2288,2069.278,azure,node,128,westeurope
factors,1579181859650481884,8027,7905.166864395142,aws,python,128,eu-central-1
factors,1579181860919492469,9300,9178.645372390747,google,python,128,europe-west1
factors,1579181861867808516,195,86.0089,azure,dotnet,128,westeurope
factors,1579181861898984943,229,59,ibm,go,128,eu-de
factors,1579181861940245028,268,82.7095,ibm,dotnet,128,eu-de
factors,1579181861988286066,5359,5235.409,azureWindows,node,128,westeurope
factors,1579181862041564894,365,237.51700000000002,azureWindows,dotnet,128,westeurope
factors,1579181862158149994,15536,15385.029,google,node,128,europe-west1
