provider,runtime,rps,rps_achieved,number_of_requests,errors,http_errors,rps_corrected,avg,min,max,stdv,50%,95%,99%
aws,dotnet,50,49.16,2952,0,0,49.2,49.666,31.487,123.328,14.493,47.29,81.98,93.76
aws,dotnet,100,98.32,5903,0,0,98.38333333333334,55.752,30.351,601.088,58.770,46.72,79.04,422.40
aws,dotnet,200,196.56,11802,0,0,196.7,49.464,30.575,658.944,36.156,46.85,66.11,87.42
aws,dotnet,400,393.07,23603,0,0,393.3833333333333,48.945,29.967,719.872,25.593,46.40,67.84,99.01
aws,dotnet,800,786.34,47185,3,0,786.4166666666666,52.922,30.479,627.712,38.358,46.53,83.65,246.40
aws,dotnet,1000,977.39,58660,2,0,977.6666666666666,53.824,30.719,300.800,22.398,48.51,94.46,142.59
azure,node,10,10.00,601,0,0,10.016666666666667,122.555,55.967,481.280,54.944,104.70,221.06,339.71
azure,node,25,24.94,1500,0,0,25,205.294,60.703,859.136,106.644,193.02,387.84,646.14
azure,node,50,49.07,2952,0,0,49.2,375.174,96.383,969.728,128.522,379.14,579.07,743.93
azure,node,100,98.05,5902,26,0,98.36666666666666,640.410,102.271,2967.552,283.243,613.89,997.38,1850
azure,node,200,179.16,10751,26,0,179.18333333333334,4755.735,359.167,12091.392,2168.081,4650,8495.1,10130
azure,node,400,227.25,13640,350,0,227.33333333333334,16506.659,3911.679,28426.240,5541.650,17190,24641.54,26100
azure,node,800,277.44,16656,6422,0,277.6,23934.384,6508.543,41353.216,8750.091,24480,37027.84,38700
azure,node,1000,327.05,19625,8759,0,327.0833333333333,24217.807,7184.383,42270.720,8680.332,24840,37388.29,39290
azure,python,10,6.22,374,8,0,6.233333333333333,16498.587,5365.759,27688.960,4884.257,17240,24444.93,27150
azure,python,25,12.32,741,78,0,12.35,19443.712,4820.991,33439.744,7011.843,19910,29655.04,31310
azure,python,50,18.02,1084,381,0,18.066666666666666,23427.467,6606.847,39452.672,8933.477,23990,36634.62,38500
azure,python,100,24.52,1473,1396,1,24.533333333333335,27261.082,7688.191,45940.736,10597.986,28110,43057.15,44560
azure,python,200,31.61,1900,3896,126,29.566666666666666,30448.020,7979.007,50954.240,11627.903,31080,47939.58,49870
azure,python,400,364.50,21872,7402,20952,15.333333333333334,9364.575,22.591,48529.408,7841.183,8640,23166.98,28480
azure,python,800,783.70,47023,12641,46195,13.8,6949.384,21.823,43515.904,6815.496,5520,19382.27,23950
azure,python,1000,967.59,58056,15580,57140,15.266666666666667,7327.595,22.623,47415.296,6923.751,6170,19447.81,24670
azure,dotnet,10,9.94,597,4,0,9.95,204.377,47.199,5128.192,359.384,149.50,430.08,816.64
azure,dotnet,25,24.90,1500,0,0,25,157.275,46.879,476.160,55.556,151.55,240.9,347.14
azure,dotnet,50,49.03,2951,0,0,49.18333333333333,309.625,66.623,997.888,92.232,293.63,489.47,644.09
azure,dotnet,100,98.07,5902,0,0,98.36666666666666,515.231,63.199,2832.384,120.198,526.85,665.09,771.58
azure,dotnet,200,195.83,11802,1,0,196.7,783.379,108.287,4579.328,389.286,720.38,1502.21,2460
azure,dotnet,400,324.19,19457,37,0,324.28333333333336,8152.118,1559.551,17793.024,2431.645,8090,12197.89,13660
