name,time,ms,provider,region
latency,1579030837123732254,56,aws,eu-central-1
latency,1579030837789779317,164,aws,eu-west-1
latency,1579030838529741979,1846,azure,westus2
latency,1579030838998739139,704,azure,westus2
latency,1579030839196461344,166,aws,eu-west-2
latency,1579030839651312114,151,aws,eu-west-2
latency,1579030839824420434,127,aws,eu-west-3
latency,1579030840223953237,72,aws,eu-west-3
latency,1579030840531829553,206,aws,eu-north-1
latency,1579030840856459157,131,aws,eu-north-1
latency,1579030841783035915,750,aws,sa-east-1
latency,1579030842081612948,722,aws,sa-east-1
latency,1579030842876699752,592,aws,me-south-1
latency,1579030843231237101,648,aws,me-south-1
latency,1579030844072405240,693,aws,ap-east-1
latency,1579030844391601779,659,aws,ap-east-1
latency,1579030845093019305,517,azure,eastus
latency,1579030845372151553,467,azure,eastus
latency,1579030846130409918,536,azure,eastus2
latency,1579030846350375197,477,azure,eastus2
latency,1579030846861456392,229,azure,uksouth
latency,1579030847014820351,163,azure,uksouth
latency,1579030848614558302,1249,ibm,jp-tok
latency,1579030848770701165,1252,ibm,jp-tok
latency,1579030849351537816,233,ibm,eu-de
latency,1579030849521974036,251,ibm,eu-de
latency,1579030850125413403,270,google,us-central1
latency,1579030850224490388,200,google,us-central1
latency,1579030851453351849,397,aws,us-east-2
latency,1579030851457688999,400,aws,us-east-2
latency,1579030852525200189,228,ibm,eu-gb
latency,1579030852541800337,245,ibm,eu-gb
latency,1579030853214813586,171,google,us-east1
latency,1579030853820640820,794,google,us-east1
latency,1579030854071586353,355,aws,us-east-1
latency,1579030854671541287,347,aws,us-east-1
latency,1579030855429015563,853,azure,eastasia
latency,1579030855963981771,791,azure,eastasia
latency,1579030856588266929,657,ibm,us-south
latency,1579030857079251978,613,ibm,us-south
latency,1579030857277737988,187,google,us-east4
latency,1579030857781779161,196,google,us-east4
latency,1579030858916532343,1138,aws,us-west-1
latency,1579030858939332196,545,aws,us-west-1
latency,1579030859922247650,501,ibm,us-east
latency,1579030860463096712,1023,ibm,us-east
latency,1579030860510735484,79,google,europe-west1
latency,1579030861037151322,59,google,europe-west1
latency,1579030861612106399,600,aws,us-west-2
latency,1579030861752249607,224,aws,us-west-2
latency,1579030862532961771,420,aws,ap-south-1
latency,1579030862748486903,494,aws,ap-south-1
latency,1579030863244129054,210,google,europe-west2
latency,1579030863345284680,96,google,europe-west2
latency,1579030863988381790,242,azure,northeurope
latency,1579030864039214262,192,azure,northeurope
latency,1579030866594327806,2053,google,asia-east2
latency,1579030866599480098,2109,google,asia-east2
latency,1579030868480947315,1381,aws,ap-northeast-2
latency,1579030868725609998,1628,aws,ap-northeast-2
latency,1579030869623276200,637,azure,southcentralus
latency,1579030869838093387,607,azure,southcentralus
